a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
aha 0.5.1-2
alacritty 0.13.1-1
alembic 1.8.6-1
alsa-card-profiles 1:1.0.3-1
alsa-lib 1.2.11-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
another-redis-desktop-manager-bin 1.6.2-1
aom 3.8.1-1
appstream 1.0.1-2
appstream-qt5 1.0.1-2
archlinux-appstream-data 20240112-1
archlinux-keyring 20240208-1
argon2 20190702-5
aria2 1.37.0-1
aribb24 1.0.3-3
ark 23.08.5-1
aspnet-runtime 8.0.1.sdk101-1
at-spi2-core 2.50.1-1
atkmm 2.28.4-1
atool 0.39.0-8
attica5 5.115.0-1
attr 2.5.2-1
audit 4.0-1
augeas 1.14.1-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
axel 2.17.13-1
ayatana-ido 0.10.1-1
babl 0.1.108-1
baloo-widgets 23.08.5-1
baloo5 5.115.0-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bash-completion 2.11-3
bat 0.24.0-1
bind 9.18.24-1
binutils 2.42-2
bison 3.8.2-6
blas 3.12.0-3
blender 17:4.0.2-14
blosc 1.21.5-1
bluedevil 1:5.27.10-3
bluez 5.72-2
bluez-libs 5.72-2
bluez-qt5 5.115.0-1
bluez-utils 5.72-2
bolt 0.9.6-2
boost 1.83.0-5
boost-libs 1.83.0-5
botan2 2.19.3-1
breeze 5.27.10-1
breeze-gtk 5.27.10-1
breeze-icons 5.115.0-1
bridge-utils 1.7.1-1
brotli 1.1.0-1
btrfs-progs 6.7.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.26.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.98-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
capstone 5.0.1-2
cblas 3.12.0-3
cdparanoia 10.2-9
cfitsio 1:4.3.1-1
chafa 1.14.0-3
chromium 122.0.6261.39-1
cifs-utils 7.0-3
clang 16.0.6-2
clash-verge-rev-bin 1.5.1-1
clinfo 3.0.21.02.21-1
clion 1:2023.3.4-1
cmake 3.28.3-1
compiler-rt 16.0.6-3
confuse 3.3-3
containerd 1.7.13-1
convertlit 1.8-11
coreutils 9.4-3
cpio 2.15-1
cppdap 1.58.0-1
cronie 1.7.1-1
cryptsetup 2.7.0-1
curl 8.6.0-3
cython 3.0.8-1
dav1d 1.4.0-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 2.1.3-1
debootstrap 1.0.134-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-1
dhcpcd 10.0.6-1
diffutils 3.10-1
discord 0.0.43-1
discount 3.0.0.d-1
discover 5.27.10.1-1
djvulibre 3.5.28-5
dkms 3.0.12-1
dmidecode 3.5-1
dnsmasq 2.90-1
dnssec-anchors 20190629-3
docker 1:25.0.2-1
docker-compose 2.24.6-1
dolphin 23.08.5-1
dos2unix 7.5.2-1
dosfstools 4.2-3
dotnet-host 8.0.1.sdk101-1
dotnet-runtime 8.0.1.sdk101-1
double-conversion 3.3.0-1
downgrade 11.3.0-1
doxygen 1.10.0-2
draco 1.5.6-2
drkonqi 5.27.10-1
dtc 1.7.0-4
duktape 2.7.0-6
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
ebtables 2.0.10_4-8
editorconfig-core-c 0.12.6-1
edk2-ovmf 202311-1
efibootmgr 18-2
efivar 39-1
electron12-bin 12.2.3-2
electron25 25.9.8-1
elisa 23.08.5-1
ell 0.62-1
emacs 29.2-1
embree 4.3.1-1
embree3 3.13.5-2
enchant 2.6.5-1
exfatprogs 1.2.2-1
exiv2 0.28.2-1
expat 2.6.0-1
f2fs-tools 1.16.0-2
faad2 2.11.1-1
fakeroot 1.33-2
fastfetch 2.8.3-1
fcitx5 5.1.7-3
fcitx5-chinese-addons 5.1.3-1
fcitx5-configtool 5.1.3-1
fcitx5-gtk 5.1.1-1
fcitx5-material-color 0.2.1-1
fcitx5-pinyin-moegirl 20231114-2
fcitx5-pinyin-zhwiki 1:0.2.4.20240210-1
fcitx5-qt 5.1.4-4
fd 9.0.0-1
festival 2.5.0-5
ffmpeg 2:6.1.1-5
ffmpeg4.4 4.4.4-4
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-6
file 5.45-1
filebrowser-bin 2.27.0-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox-developer-edition 124.0b1-1
firefox-developer-edition-i18n-zh-cn 124.0b1-1
flac 1.4.3-1
flex 2.6.4-5
fmt 10.2.0-1
fontconfig 2:2.15.0-2
fonts-droid-fallback 6.0.1r16-1.1
fonts-noto-hinted 20161116-1
frameworkintegration5 5.115.0-1
freeglut 3.4.0-1
freetype2 2.13.2-1
freetype2-wps 2.13.2-1
frei0r-plugins 2.3.2-2
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fzf 0.46.1-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gcr 3.41.2-1
gd 2.3.3-7
gdb 14.1-1
gdb-common 14.1-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.48-1
geoclue 2.7.1-2
gettext 0.22.4-1
ghostscript 10.02.1-1
giflib 5.2.2-1
gimp 2.10.36-4
git 2.43.2-1
git-delta 0.16.5-1
gjs 2:1.78.4-1
glew 2.2.0-6
glfw-wayland 3.3.9-1
glib-networking 1:2.78.0-1
glib2 2.78.4-1
glibc 2.39-1
glibmm 2.66.6-1
glibmm-2.68 2.78.1-1
glslang 13.1.1-3
glu 9.0.3-1
gmp 6.3.0-1
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnu-free-fonts 20120503-8
gnupg 2.4.4-1
gnustep-base 1.29.0-3
gnutls 3.8.3-1
gobject-introspection-runtime 1.78.1-1
godot 4.2.1-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.10-1
graphene 1.10.8-1
graphicsmagick 1.3.42-2
graphite 1:1.3.14-3
graphviz 10.0.1-1
grep 3.11-1
groff 1.23.0-5
