a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20240116.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 46.0-1
adwaita-icon-theme 46.0-1
aha 0.5.1-2
alacritty 0.13.2-2
alembic 1.8.6-1
alsa-card-profiles 1:1.0.4-4
alsa-lib 1.2.11-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
android-tools 34.0.5-1
android-udev 20231124-1
another-redis-desktop-manager-bin 1.6.3-2
aom 3.8.2-1
appmenu-gtk-module 24.02-1
appstream 1.0.2-1
appstream-qt 1.0.2-1
archlinux-appstream-data 20240306-1
archlinux-keyring 20240313-1
argon2 20190702-5
aria2 1.37.0-1
aribb24 1.0.3-3
ark 24.02.1-1
arm-none-eabi-gdb 14.2-1
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
atool 0.39.0-8
attica 6.0.0-1
attr 2.5.2-1
audit 4.0.1-2
augeas 1.14.1-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
axel 2.17.13-1
ayatana-ido 0.10.1-1
babl 0.1.108-1
baloo 6.0.0-3
baloo-widgets 24.02.1-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bash-completion 2.11-3
bat 0.24.0-1
bind 9.18.25-1
binutils 2.42-2
bison 3.8.2-6
blas 3.12.0-3
blender 17:4.1.0-3
blosc 1.21.5-1
bluedevil 1:6.0.3-1
bluez 5.73-4
bluez-libs 5.73-4
bluez-obex 5.73-4
bluez-qt 6.0.0-1
bluez-utils 5.73-4
bolt 0.9.7-1
boost 1.83.0-5
boost-libs 1.83.0-5
botan2 2.19.3-1
breeze 6.0.3-1
breeze-gtk 6.0.3-1
breeze-icons 6.0.0-1
bridge-utils 1.7.1-2
brotli 1.1.0-1
btrfs-progs 6.8-2
bubblewrap 0.9.0-1
bzip2 1.0.8-6
c-ares 1.28.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.99-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-2
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
capstone 5.0.1-2
cblas 3.12.0-3
cdparanoia 10.2-9
cfitsio 1:4.4.0-1
chafa 1.14.0-3
chromium 123.0.6312.105-1
cifs-utils 7.0-3
clang 17.0.6-1
clash-verge-rev-bin 1.5.11-1
clinfo 3.0.23.01.25-1
clion 1:2023.3.4-1
cmake 3.29.1-1
compiler-rt 17.0.6-1
confuse 3.3-4
containerd 1.7.14-1
convertlit 1.8-11
coreutils 9.5-1
cpio 2.15-1
cppdap 1.58.0-1
cronie 1.7.1-1
cryptsetup 2.7.1-1
curl 8.7.1-5
cython 3.0.10-1
dav1d 1.4.1-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 2.1.4-1
debootstrap 1.0.134-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
dhcpcd 10.0.6-1
dialog 1:1.3_20240307-2
diffutils 3.10-1
discord 0.0.47-2
discount 3.0.0.d-1
discover 6.0.3-1
djvulibre 3.5.28-5
dkms 3.0.12-1
dmidecode 3.5-1
dnsmasq 2.90-1
dnssec-anchors 20190629-3
docker 1:26.0.0-1
docker-compose 2.26.1-1
dolphin 24.02.1-1
dos2unix 7.5.2-1
dosfstools 4.2-3
dotconf 1.3-7
double-conversion 3.3.0-1
downgrade 11.3.0-1
doxygen 1.10.0-3
draco 1.5.6-2
drkonqi 6.0.3-1
dtc 1.7.0-4
duktape 2.7.0-6
e2fsprogs 1.47.0-2
ebook-tools 0.2.2-7
ebtables 2.0.10_4-8
editorconfig-core-c 0.12.7-1
edk2-ovmf 202311-1
efibootmgr 18-3
efivar 39-1
electron12-bin 12.2.3-2
electron22 22.3.27-5
electron28 28.2.9-2
ell 0.64-2
emacs 29.3-2
embree 4.3.1-1
embree3 3.13.5-2
enchant 2.6.5-1
espeak 1:1.48.04-4
exfatprogs 1.2.2-1
exiv2 0.28.2-3
expat 2.6.2-1
f2fs-tools 1.16.0-2
faad2 2.11.1-1
fakeroot 1.34-1
fastfetch 2.8.10-2
fcitx5 5.1.8-1
fcitx5-chinese-addons 5.1.4-1
fcitx5-configtool 5.1.4-1
fcitx5-gtk 5.1.2-1
fcitx5-material-color 0.2.1-1
fcitx5-pinyin-moegirl 20240309-1
fcitx5-pinyin-zhwiki 1:0.2.4.20240210-1
fcitx5-qt 5.1.5-3
fd 9.0.0-2
festival 2.5.0-5
ffmpeg 2:6.1.1-7
ffmpeg4.4 4.4.4-5
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-6
figlet 2.2.5-5
file 5.45-1
filebrowser-bin 2.28.0-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox-developer-edition 125.0b7-1
firefox-developer-edition-i18n-zh-cn 125.0b7-1
flac 1.4.3-1
flex 2.6.4-5
fmt 10.2.0-1
fontconfig 2:2.15.0-2
frameworkintegration 6.0.0-1
freeglut 3.4.0-1
freetype2 2.13.2-1
freetype2-wps 2.13.2-1
frei0r-plugins 2.3.2-2
fribidi 1.0.13-2
